org.leo.dictionary.config.entity.ParseWords:de:en;uk:die+;das+;der+;der/die+:%5C%7C:%3B:%3B:%5Ct::Einfach+gut+A2.2
	Wortschatz zu Lektion 7: Ein Einkaufsbummel
die Accessoires; Pl. | accessories | аксесуари (множина)
anhaben | to be wearing | носити
die Apfelschorle | apple spritzer | яблучний сік із мінеральною водою
die Aubergine; Auberginen | aubergine | баклажан
die Ausrüstung | equipment | спорядження
der Babyartikel; Babyartikel | baby items | дитячі товари
die Badesachen; Pl. | swimwear | купальні приналежності (множина)
der Bart; Bärte | beard | борода
die Bekleidung | clothing | одяг
bestimmt | surely | звичайно
blond | blond | блондин; блондинка
braten | to roast | смажити
bummeln | to stroll | гуляти
bunt | colourful | барвистий
das Camping | camping | кемпінг
der Champignon; Champignons | mushroom | шампіньйон
die Currywurst | currywurst | сосиска каррі
die Dame; Damen | lady | пані
darin | in it | у цьому
dick | fat | товстий
der Dieb | thief | злодій
die Diebin | thief | злодійка
das Ding; Dinge | thing | річ
der Duft | smell | запах
dünn | thin | тонкий
das Duschgel | shower gel | гель для душу
egal | equal | неважливо
das Ehepaar | married couple | сімейна пара
einfarbig | monochromatic | однокольоровий
die Elektronik | electronics | електроніка
der Fahrradhelm | cycle helmet | велосипедний шолом
fantastisch | fantastic | фантастичний
das Fast Food | fast food | фастфуд
die Flipflops; Pl. | flip flops | шльопанці (множина)
frittieren | to fry | смажити у фритюрі
die Gemüselasagne | vegetable lasagne | овочева лазанья
gepunktet | spotty | у горошок
das Gericht | meal | страва
gestreift | striped | смугастий
glatt | smooth | гладкий
die Glatze | bald head | лисина
das Gold | gold | золото
griechisch | Greek | грецький
die Gulaschsuppe | goulash soup | суп-гуляш
der Gürtel | belt | пасок
die Haarpflege | hair care | догляд за волоссям
das Hauptgericht | main meal | основна страва
die Hautpflege | skin care | догляд за шкірою
hübsch | pretty | привабливий
die Kamera | camera | камера
kariert | checkered | у клітинку
das Kompliment; Komplimente | compliment | комплімент
der Kopfhörer | headphones | навушники
die Kosmetiktasche | cosmetic bag | косметичка
die Krawatte | tie | краватка
das Küchengerät; Küchengeräte | kitchen appliance | кухонне начиння
laufen | to run | бігти
die Lieblingsfarbe | favourite colour | улюблений колір
lockig | curly | кучерявий
das Make-up | make up | макіяж
die Maus | mouse | миша
das Mineralwasser | mineral water | мінеральна вода
das Modegeschäft | fashion shop | магазин моди
der Modeschmuck | fashion jewellry | біжутерія
nachher | afterwards | пізніше
die Naturkosmetik | natural cosmetics | натуральна косметика
das Navigationsgerät (Navi) | navigation device | навігаційний пристрій
der Ofen | oven | піч
der Ohrring; Ohrringe | earring | сережка
die Parfümerie | perfumery | парфумерія
die Pfanne | pan | сковорода
plötzlich | suddenly | раптово
der Polizist | policeman | поліцейський
die Polizistin | policeman | поліцейська
der Schafskäse | feta cheese | овечий сир
scharf | spicy | гострий
schauen | to look | дивитися
das Schaufenster | shop window | вітрина
schick | chic | шикарний
schlank | slim | стрункий
der Schmuck | jewellry | прикраса
das Schnäppchen | deal | вигідна покупка
das Schnitzel | schnitzel | котлета
der Schnurrbart | moustache | вуса
der Schrei | scream | крик
die Schuhgröße | shoe size | розмір взуття
die Shorts | shorts | шорти
das Silber | silver | срібло
der Snack; Snacks | snack | снек
die Spielwaren; Pl. | toys | іграшки (множина)
das Steak | steak | стейк
stehlen | to steal | красти
der Stiefel; Stiefel | boot | чоботи
die Süßigkeiten | sweets | солодощі
das Tattoo; Tattoos | tattoo | татуювання
der Toaster | toaster | тостер
ungarisch | Hungarian | угорський
die Unterwäsche | underwear | нижня білизна
das Vanilleeis | vanilla ice cream | ванільне морозиво
der Vegetarier | vegetarian | вегетаріанець
die Vegetarierin | vegetarian | вегетаріанка
vegetarisch | vegetarian | вегетаріанський
wandern | to hike | ходити в похід
der Wanderschuh; Wanderschuhe | hiking shoes | взуття для походів
der Wecker | alarm | будильник
wirklich | really | справді
wunderbar | wonderful | чудовий
zubereiten | to prepare | готувати
die Zucchini | zucchini | цукіні
	Wortschatz zu Lektion 8: Bei der Arbeit
absetzen | to distribute | знімати
die Abteilung; Abteilungen | department | відділ
angeben | to indicate | повідомляти
der Anruf; Anrufe | call | виклик
der Anrufer | caller | той, хто дзвонить
die Anruferin | caller | та, хто дзвонить
der Arbeitgeber | employer | роботодавець
die Arbeitgeberin | employer | роботодавиця
der Arbeitsauftrag; Arbeitsaufträge | work order | виробниче завдання
der Arbeitsbeginn | start of work | початок роботи
der Arbeitsschutz | occupational safety | охорона праці
